problem id,title,solved by me?,solved by frnd?
1,Two Sum,Yes,No
2,Add Two Numbers,Yes,Yes
3,Longest Substring Without Repeating Characters,Yes,Yes
4,Median of Two Sorted Arrays,Yes,No
7,Reverse Integer,Yes,No
8,String to Integer (atoi),Yes,No
9,Palindrome Number,Yes,No
11,Container With Most Water,Yes,Yes
13,Roman to Integer,Yes,No
14,Longest Common Prefix,Yes,No
15,3Sum,Yes,Yes
16,3Sum Closest,Yes,No
17,Letter Combinations of a Phone Number,Yes,Yes
18,4Sum,Yes,Yes
19,Remove Nth Node From End of List,Yes,Yes
20,Valid Parentheses,Yes,No
21,Merge Two Sorted Lists,Yes,No
23,Merge k Sorted Lists,Yes,No
24,Swap Nodes in Pairs,Yes,Yes
26,Remove Duplicates from Sorted Array,Yes,No
27,Remove Element,Yes,No
28,Find the Index of the First Occurrence in a String,Yes,No
33,Search in Rotated Sorted Array,Yes,No
34,Find First and Last Position of Element in Sorted Array,Yes,No
35,Search Insert Position,Yes,No
41,First Missing Positive,Yes,No
48,Rotate Image,Yes,Yes
49,Group Anagrams,Yes,No
50,"Pow(x, n)",Yes,No
56,Merge Intervals,Yes,Yes
57,Insert Interval,Yes,Yes
58,Length of Last Word,Yes,No
61,Rotate List,Yes,Yes
66,Plus One,Yes,No
67,Add Binary,Yes,No
69,Sqrt(x),Yes,No
70,Climbing Stairs,Yes,No
73,Set Matrix Zeroes,Yes,Yes
74,Search a 2D Matrix,Yes,Yes
75,Sort Colors,Yes,No
79,Word Search,Yes,No
82,Remove Duplicates from Sorted List II,Yes,No
83,Remove Duplicates from Sorted List,Yes,No
88,Merge Sorted Array,Yes,No
92,Reverse Linked List II,No,Yes
94,Binary Tree Inorder Traversal,Yes,No
98,Validate Binary Search Tree,Yes,Yes
99,Recover Binary Search Tree,No,Yes
100,Same Tree,Yes,No
101,Symmetric Tree,Yes,No
102,Binary Tree Level Order Traversal,Yes,Yes
103,Binary Tree Zigzag Level Order Traversal,No,Yes
104,Maximum Depth of Binary Tree,Yes,No
105,Construct Binary Tree from Preorder and Inorder Traversal,No,Yes
106,Construct Binary Tree from Inorder and Postorder Traversal,No,Yes
107,Binary Tree Level Order Traversal II,Yes,No
110,Balanced Binary Tree,Yes,No
111,Minimum Depth of Binary Tree,Yes,No
112,Path Sum,Yes,No
114,Flatten Binary Tree to Linked List,Yes,Yes
121,Best Time to Buy and Sell Stock,Yes,No
124,Binary Tree Maximum Path Sum,Yes,Yes
125,Valid Palindrome,Yes,No
128,Longest Consecutive Sequence,Yes,Yes
133,Clone Graph,Yes,Yes
136,Single Number,Yes,No
141,Linked List Cycle,Yes,No
143,Reorder List,No,Yes
144,Binary Tree Preorder Traversal,Yes,No
145,Binary Tree Postorder Traversal,Yes,No
148,Sort List,Yes,Yes
150,Evaluate Reverse Polish Notation,Yes,Yes
151,Reverse Words in a String,Yes,Yes
155,Min Stack,Yes,Yes
160,Intersection of Two Linked Lists,Yes,No
162,Find Peak Element,Yes,No
169,Majority Element,Yes,No
175,Combine Two Tables,Yes,No
176,Second Highest Salary,Yes,No
177,Nth Highest Salary,Yes,No
178,Rank Scores,Yes,No
180,Consecutive Numbers,Yes,No
181,Employees Earning More Than Their Managers,Yes,No
182,Duplicate Emails,Yes,No
183,Customers Who Never Order,Yes,No
184,Department Highest Salary,Yes,No
185,Department Top Three Salaries,Yes,No
189,Rotate Array,Yes,Yes
195,Tenth Line,Yes,No
196,Delete Duplicate Emails,Yes,No
197,Rising Temperature,Yes,No
200,Number of Islands,Yes,Yes
202,Happy Number,Yes,No
